Source,Target,Similarity
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Goetze_1937_JAOS57_Subartu.txt,0.9094564914703369
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,"Carruba, Giorgieri & Mora eds - Atti del il congresson internazionale di Hittitologia. StMed 9, 1995.txt",0.9067044258117676
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,"Dercksen, J.G. et al. - Veenhof Anniversary Volume. PIHANS 89, 2001.txt",0.9211050868034363
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,"Veenhof, Klaas R. - Review of Notes on a New Volume of Old Assyrian Texts by Karl Hecker. JAOS 122 4, 2002, pp. 797-802.txt",0.9033100008964539
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,zaccagnini1999.txt,0.9010216593742371
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Larsen 1989.txt,0.9010969996452332
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,vandemeiroop1999b.txt,0.903780460357666
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Lassen_2010_Tools__Procedures_and_Professions_Textile_Terminologies_ATS_8-libre.txt,0.9036514163017273
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Melchert_aspect1.txt,0.903316080570221
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Rigg_1937_JAOS57_Armanum_Urartu.txt,0.9017412662506104
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,"Wiseman & Hawkins eds - RAI 23, Iraq 39, 1977.txt",0.9125555753707886
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Johnson_2006_RBL_Rev_Haselbach_Sarg_Akk.txt,0.9399755597114563
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Hallo_1977_HUCA48_new_moons_sabbaths.txt,0.9001886248588562
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Michel_2010_IstExhibition_Writing.txt,0.905816912651062
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,nissen1986.txt,0.9007197022438049
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Farber_1985_JNES44_Rev_AssyrischeTempel.txt,0.9348464608192444
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Wiseman_1953_JCS7_Txts_Frag.txt,0.9036533832550049
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,"Veenhof, Klaas R. - Review of Harper et al, The Royal City of Susa. Ancient Near Eastern Treasures in the Louvre. JESHO 37-2 1994.txt",0.9013562202453613
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,long_cebel_iris_dagi.txt,0.9101037383079529
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Roberts_1978_BASOR230_Rev_Harris_Anc_Sippar.txt,0.9182268977165222
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,knoppers1993.txt,0.9084275960922241
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Goetze_1955_JCS9_Drehem_tablet.txt,0.9163978695869446
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Oppenheimi_54_rev_ARM.txt,0.909686803817749
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Kogan&Koslova_2006_CR_Studies_Larsen.txt,0.9334441423416138
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,izreel1992.txt,0.9158788919448853
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Forlanini_2005_NABU(n1 mars)_Notes sur la géographie anatolienne dans les textes paléo-assyriens.txt,0.9011270403862
Llop_2010_AuOr_28_Rec._OBO_160_5.txt,Sachs_1937_JAOS57_Samarra.txt,0.9024799466133118
